Year,Marks,Model,Body Type,Mileage,Engine Size,Transmission,Fuel Type,Price($),City, Car Type
2020,Mercedes-Benz,GLE-Class,SUV,"69,515",2.0L,Sports Automatic,Diesel,75900,New South Wales,Used
2016,BMW,X4,SUV,"94,168",3.0L,Automatic,Diesel,38100,New South Wales,Used
2025,MINI,Cooper,Hatchback,N/A,2.0L,Sports Automatic Dual Clutch,Petrol,54990,N/A,Available to order
2023,Ford,Ranger,Ute,"9,270",2.0L,Sports Automatic,Diesel,43990,Queensland,Used
2019,Kia,Rio,Hatchback,"46,952",1.4L,Automatic,Petrol,17500,New South Wales,Used
2023,GWM,Haval Jolion,SUV,"52,138",1.5L,Constantly Variable Transmission,Hybrid,25912,Victoria,Used
2021,Mazda,BT-50,Ute,"29,463",3.0L,Sports Automatic,Diesel,40940,Victoria,Used
2022,Haval,Jolion,SUV,"20,731",1.5L,Sports Automatic Dual Clutch,Petrol,23850,Queensland,Used
2025,MINI,Cooper,Convertible,N/A,2.0L,Sports Automatic Dual Clutch,Petrol,54990,N/A,Available to order
2019,Honda,Civic,Hatchback,"69,874",1.5L,Constantly Variable Transmission,Petrol,27604,Australian Capital Territory,Used
2017,Holden,Trax,SUV,"56,788",1.4L,Automatic,Petrol,14990,Victoria,Used
2024,Toyota,Hilux,Ute,"7,107",2.8L,Sports Automatic,Diesel,76995,Queensland,Used
2022,Nissan,Patrol,SUV,"69,407",5.6L,Sports Automatic,Petrol,79999,Western Australia,Used
2022,Toyota,Landcruiser,SUV,"27,513",4.5L,Manual,Diesel,107240,N/A,Used
2025,MINI,Cooper,Convertible,N/A,2.0L,Sports Automatic Dual Clutch,Petrol,51990,N/A,Available to order
2022,Haval,H6,SUV,"39,026",2.0L,Sports Automatic Dual Clutch,Petrol,29990,Queensland,Used
2024,Chery,OMODA 5,SUV,3,1.5L,Constantly Variable Transmission,Petrol,25490,Queensland,Demo
2021,Toyota,Hilux,Ute,"98,164",2.8L,Manual,Diesel,43490,Queensland,Used
2022,Hyundai,Santa Fe,SUV,"62,365",3.5L,Sports Automatic,Petrol,38988,Victoria,Used
2022,Mitsubishi,Triton,Ute,"119,614",2.4L,Sports Automatic,Diesel,31990,Victoria,Used
2025,MINI,Cooper,Convertible,N/A,2.0L,Sports Automatic Dual Clutch,Petrol,61990,N/A,Available to order
2023,GWM,Ora,Hatchback,570,N/A,Reduction Gear,Electric,35990,Tasmania,Demo
2023,Kia,Sorento,SUV,"17,075",3.5L,Sports Automatic,Petrol,53900,Victoria,Used
2022,Mazda,BT-50,Ute,"32,842",3.0L,Sports Automatic,Diesel,42999,Victoria,Used
2017,Mazda,BT-50,Ute,"78,928",3.2L,Sports Automatic,Diesel,26770,New South Wales,Used
2023,BMW,X3,SUV,"26,568",2.0L,Sports Automatic,Petrol,59690,N/A,Used
2025,Mitsubishi,ASX,SUV,N/A,2.0L,Constantly Variable Transmission,Petrol,27990,N/A,Available to order
2024,Kia,Sportage,SUV,6,2.0L,Sports Automatic,Petrol,42870,Queensland,New
2023,Hyundai,Venue,SUV,"19,124",1.6L,Automatic,Petrol,25995,Queensland,Used
2023,Mercedes-Benz,C-Class,Sedan,"34,506",1.5L,Sports Automatic,Petrol,66868,Victoria,Used
2024,Chery,OMODA 5,SUV,"2,025",1.5L,Constantly Variable Transmission,Petrol,25888,Victoria,Used
2020,Hyundai,iLoad,Van,"74,254",2.5L,Automatic,Diesel,36990,Queensland,Used
2025,Mitsubishi,ASX,SUV,N/A,2.0L,Constantly Variable Transmission,Petrol,30490,N/A,Available to order
2015,Suzuki,Swift,Hatchback,"96,816",1.4L,Automatic,Petrol,13330,South Australia,Used
2018,Toyota,Hilux,Ute,"127,269",2.8L,Manual,Diesel,42990,Victoria,Used
2020,Mazda,CX-3,SUV,"59,066",2.0L,Sports Automatic,Petrol,22990,South Australia,Used
2020,Subaru,XV,SUV,"21,739",2.0L,Constantly Variable Transmission,Petrol,32490,Queensland,Used
2018,Jeep,Compass,SUV,"73,987",2.4L,Automatic,Petrol,20590,New South Wales,Used
2025,Mitsubishi,ASX,SUV,N/A,2.4L,Constantly Variable Transmission,Petrol,32740,N/A,Available to order
2025,Jeep,Compass,SUV,10,2.4L,Automatic,Petrol,54888,Victoria,New
2024,GWM,Ute,Ute,16,2.0L,Sports Automatic,Diesel,39490,New South Wales,New
2024,Volvo,XC40,SUV,21,2.0L,Sports Automatic,Petrol,55999,Queensland,Demo
2022,Toyota,RAV4,SUV,"39,260",2.5L,Constantly Variable Transmission,Hybrid,41190,New South Wales,Used
2024,Toyota,RAV4,SUV,126,2.5L,Constantly Variable Transmission,Hybrid,53141,Western Australia,Used
2025,Mitsubishi,ASX,SUV,N/A,2.4L,Constantly Variable Transmission,Petrol,35240,N/A,Available to order
2021,BMW,X4,SUV,"37,303",2.0L,Sports Automatic,Petrol,69800,New South Wales,Used
2019,Kia,Rio,Hatchback,"46,952",1.4L,Automatic,Petrol,17500,New South Wales,Used
2022,Kia,Picanto,Hatchback,"44,911",1.3L,Automatic,Petrol,17990,South Australia,Used
2024,Hyundai,Tucson,SUV,10,2.0L,Automatic,Petrol,38990,New South Wales,New
2025,MG,ZST,SUV,8,1.5L,Constantly Variable Transmission,Petrol,23588,Victoria,New
